cpu,dahili_hafiza,ekran_boyutu,kamera_cozunurlugu,mobil_baglanti_hizi,pil_gucu,ram_kapasitesi,on_kamera_cozunurluk,isletim_sistemi,brands,price
3.2,512,6.7,210,5.0,5000,12,20,0,8,17599.0
3.0,16,8.0,120,3.0,3279,12,90,1,25,41999.0
3.2,256,6.67,118,4.5,5000,8,20,0,25,12599.0
2.0,128,6.8,86,4.5,5000,8,40,0,22,9299.0
2.4,128,6.0,10,4.5,4000,6,10,0,7,5240.0
2.4,16,4.5,57,5.5,2815,4,5,0,18,25083.0
3.2,64,6.1,24,4.5,3110,4,15,1,1,23062.0
3.2,128,6.5,32,4.5,4500,6,40,0,19,12799.0
2.8,32,4.5,5,4.0,1500,3,10,0,31,3999.0
2.0,128,6.0,20,4.5,4000,6,20,0,19,10090.0
3.2,256,6.7,20,5.0,4000,8,60,1,1,87415.0
1.0,16,4.5,5,4.5,1500,1,5,0,0,1389.0
3.0,4,6.1,140,4.0,4000,6,5,0,1,63499.0
3.2,256,6.1,20,5.0,3000,8,60,1,1,71999.0
3.5,256,6.7,20,5.0,5000,12,20,0,16,18929.0
2.0,64,6.0,20,4.5,4000,4,10,0,28,4250.0
3.5,128,6.6,54,4.0,5020,8,20,0,31,8440.0
3.2,128,6.4,67,5.0,5000,8,40,0,19,15575.0
3.0,256,6.8,54,3.0,2800,12,50,1,19,19999.0
3.5,128,6.0,13,5.5,5020,3,60,0,1,10619.0
2.0,32,5.5,123,4.5,2800,3,10,1,1,4999.0
1.0,256,6.0,20,4.0,4000,8,20,0,12,16400.0
3.0,32,4.5,5,4.5,1500,2,10,0,18,2199.0
2.0,256,6.0,20,4.5,3000,8,15,0,19,23749.0
3.5,256,8.0,15,5.0,3000,8,10,0,19,40790.0
2.4,256,6.0,20,4.5,3000,8,15,0,19,23749.0
1.0,8,6.1,118,5.5,4325,4,80,1,1,28299.0
2.8,128,8.0,50,4.5,5000,4,10,0,25,7099.0
1.5,256,6.7,60,5.0,4000,8,60,0,31,19899.0
3.2,64,4.5,5,4.5,1500,4,10,0,19,5439.0
2.0,4,4.5,76,4.0,2400,8,80,1,9,21999.0
3.0,4,6.5,118,3.0,3700,6,5,0,19,10216.0
2.5,64,6.0,15,4.5,2400,3,15,0,1,12999.0
1.0,64,6.0,15,3.0,3000,4,30,1,1,16847.0
2.4,512,6.67,50,5.0,5000,12,40,0,25,37499.0
2.0,512,6.0,10,4.0,5000,12,10,0,8,15999.0
3.0,64,6.0,10,4.0,3000,4,10,0,6,4450.0
2.4,256,6.0,118,5.0,5000,8,40,0,10,18029.0
2.0,128,8.0,20,4.5,4000,4,10,0,25,5665.0
1.5,128,6.7,57,4.5,5000,8,60,0,30,6249.0
2.8,64,4.7,32,5.5,3900,3,100,1,1,9999.0
2.0,128,6.0,20,4.5,3000,4,10,0,18,2899.0
2.0,64,4.5,5,4.5,1500,4,10,0,18,2590.0
1.0,64,6.0,67,5.5,4780,4,30,1,1,16639.0
1.0,512,6.7,72,5.0,4323,6,15,1,1,77499.0
2.0,256,6.6,72,4.5,5000,8,80,0,18,5050.0
1.5,256,6.1,13,4.0,2815,6,30,0,1,47749.0
2.5,64,8.0,20,4.5,4000,4,15,0,19,6119.0
3.5,1024,6.1,12,5.5,3095,4,50,0,1,38199.0
2.0,64,6.0,15,4.5,3000,4,15,0,25,5499.0
2.8,4,6.0,76,5.5,20000,6,80,1,7,5699.0
3.2,256,6.0,15,5.0,4000,12,15,0,19,32311.0
2.4,512,6.7,210,5.0,4000,12,40,0,30,20992.0
3.2,256,6.7,72,5.0,5020,16,20,0,14,40999.0
3.2,256,6.67,50,5.0,5000,12,40,0,25,24205.0
1.5,256,6.0,118,5.0,5000,8,40,0,10,18029.0
3.5,128,6.6,54,4.0,5020,8,20,0,31,8249.0
1.0,256,4.5,5,5.0,1500,8,60,0,25,20599.0
2.4,256,6.8,140,4.5,5000,12,20,0,19,36669.0
2.8,128,6.0,20,4.5,4000,6,40,0,7,8399.0
3.2,128,4.5,5,4.5,1500,4,10,0,19,6360.0
3.0,256,6.67,86,5.0,5000,8,40,0,21,13899.0
2.0,128,4.5,5,4.5,1500,8,40,0,19,5600.0
1.5,64,6.0,10,5.0,1800,4,10,1,1,24119.0
2.5,64,8.0,20,4.5,4000,4,15,0,19,6149.0
1.5,128,6.0,118,4.0,3700,4,60,1,1,18958.0
1.5,128,8.0,20,4.5,3000,6,60,0,31,6919.0
2.0,32,6.0,15,4.5,5000,3,10,0,6,3960.0
1.5,128,6.0,20,4.5,3000,8,10,0,23,6499.0
3.0,16,6.7,76,5.5,3110,8,90,0,10,8999.0
1.0,128,6.1,123,4.0,4323,6,50,1,1,34999.0
1.5,4,6.52,118,3.0,1800,6,50,0,24,5799.0
3.2,1024,8.0,15,5.0,4000,12,15,0,19,64635.0
2.4,128,6.5,50,4.5,5000,4,10,0,31,6399.0
3.2,256,6.1,20,5.0,3000,8,60,1,1,71999.0
2.4,256,4.5,5,4.5,1500,8,15,0,19,44500.0
3.2,256,6.7,20,5.0,4000,8,60,1,1,81999.0
1.5,128,6.0,67,5.5,2400,4,30,0,1,47549.0
3.2,128,6.1,15,4.5,2815,4,15,1,1,28299.0
3.2,128,6.1,20,5.0,3000,8,60,1,1,68999.0
2.0,4,6.1,120,5.5,4000,4,30,1,1,41089.0
3.2,128,6.5,32,4.5,4500,6,40,0,19,13099.0
2.4,16,6.7,12,3.0,3700,6,30,1,25,8569.0
1.0,512,6.7,210,5.0,5000,12,60,0,8,16499.0
2.8,128,6.0,10,4.0,3000,8,10,0,6,7410.0
1.0,128,7.0,20,5.0,20000,8,20,0,18,4695.0
3.5,32,4.5,5,4.5,1500,2,10,0,18,2227.0
2.0,16,4.5,54,4.0,4000,12,60,1,30,13699.0
2.0,128,6.7,20,4.5,5000,8,20,0,10,8999.0
2.0,64,6.71,54,4.5,2815,2,10,0,1,6730.0
1.5,256,6.8,140,4.5,5000,12,20,0,19,36999.0
2.4,64,6.0,120,5.5,4325,4,5,1,1,24399.0
3.5,256,6.0,20,4.5,3000,8,15,0,19,23749.0
2.0,128,6.0,20,4.5,4000,6,20,0,19,11190.0
3.2,128,4.5,5,4.5,1500,4,10,0,19,6360.0
3.5,32,6.0,82,3.0,3279,3,50,1,1,4675.0
3.0,128,4.5,5,5.0,1500,8,10,0,19,24575.0
3.2,256,6.6,63,5.0,5000,8,40,0,19,12399.0
3.0,128,6.5,86,5.0,5000,8,40,0,19,15190.0
1.5,128,6.0,13,3.0,4000,6,5,1,1,59749.0
2.8,32,4.5,5,4.5,4000,2,5,0,30,35980.0
3.2,256,6.7,20,5.0,4000,8,60,1,1,81999.0
2.4,256,6.67,123,4.5,5020,8,40,0,25,11599.0
3.0,256,8.0,20,4.0,5000,8,20,0,30,9745.0
3.2,256,6.7,15,5.0,4000,6,15,1,1,52469.0
2.5,64,6.0,10,4.0,3000,4,10,0,16,5249.0
1.0,128,7.0,20,4.5,1500,4,10,0,19,6640.0
1.0,256,6.6,63,5.0,5000,8,20,0,19,49399.0
3.5,32,5.0,118,4.5,3110,2,10,0,1,3599.0
2.8,256,6.0,10,5.0,3000,8,10,0,16,11770.0
2.4,128,6.4,17,3.0,2800,6,100,1,19,6299.0
2.5,128,6.7,20,5.0,4000,6,60,1,1,56999.0
3.5,256,6.8,20,5.0,5000,8,40,0,23,19149.0
3.2,256,6.1,72,5.0,3900,8,15,0,19,29999.0
2.0,8,6.67,123,5.5,3000,12,50,0,16,26399.0
1.5,128,4.5,5,5.0,1500,6,20,0,30,86459.0
1.5,4,8.0,57,4.0,3200,8,100,1,2,8444.0
2.8,64,6.0,15,4.5,5000,4,15,0,30,4550.0
2.0,128,6.1,24,5.0,3279,6,15,1,1,44299.0
2.0,128,6.7,10,4.5,2800,4,10,0,28,5133.0
2.4,128,4.5,5,4.5,1500,8,20,0,19,28290.0
1.5,128,6.7,123,4.0,3110,8,50,0,1,18999.0
2.4,128,5.5,17,5.5,4000,2,90,0,19,23000.0
2.0,1024,6.1,82,4.0,20000,8,90,1,1,68999.0
3.5,64,4.5,5,4.5,1500,8,20,0,28,4299.0
3.0,128,6.1,123,3.0,3095,6,80,1,1,33999.0
2.5,128,4.5,5,4.5,4000,8,80,0,19,15450.0
2.5,256,6.0,10,5.0,3000,8,10,0,16,15999.0
3.0,1024,8.0,57,3.0,3700,8,50,1,2,7199.0
3.0,128,5.0,12,5.5,5160,4,5,0,1,6499.0
3.0,128,6.0,5,4.5,5000,4,10,0,30,5199.0
1.5,64,4.5,5,4.0,1500,4,10,0,29,3695.0
2.8,128,6.43,12,5.5,3095,4,5,0,15,4990.0
2.0,64,4.5,5,4.5,1500,4,10,0,18,2525.0
1.0,256,6.8,72,5.0,5000,12,40,0,25,35999.0
3.2,256,6.0,20,4.5,3000,6,40,0,16,15999.0
3.2,128,6.1,15,4.5,2815,4,15,1,1,31928.0
2.4,1024,10.0,20,5.0,3000,12,10,0,19,66999.0
2.0,128,6.67,86,5.0,5000,8,20,0,25,17999.0
1.5,64,4.5,5,4.5,1500,4,10,0,18,2799.0
2.0,16,4.5,57,5.5,3110,8,120,0,15,22000.0
2.5,128,6.0,20,4.5,5000,4,10,0,6,5437.0
2.0,128,6.1,24,5.0,3279,6,15,1,1,44299.0
